Participant_ID,Sex,Gamer,Complete_Game_Files,Complete_Transcript,Joystick_First,ownComputer,VGES8,VGES10,VGES16,VGES16_1_TEXT
809,1,0,1,0,0,No,0,Banished / Civilization V / Teleglitch: Die More Edition / WarioWare / Super Smash Bros,2,
811,2,0,1,0,1,No,0,"Super smash brothers, mario kartz, and don't have any other that I can recall",2,
818,1,1,1,1,1,Yes,115,"Dwarf Fortress, Diablo 3: RoS, Runescape(OSRS), Dead Island, Dark Souls 3.",2,
825,1,1,1,1,1,Yes,60,Megaman Battle Network 3: Blue / League of Legends / Megaman Battle Network 6: Cybeast Falzar / Sonic & All Stars Racing Transformed / Team Fortress 2,2,
846,2,0,0,1,0,Yes,0,"Donkey Kong, Mario Cart, Super Monkey Ball, Sims, WWE",2,
848,1,1,1,1,0,No,45,"Fifa 16, Nhl 16, Rainbow six siege, rocket ball, batman arkham knight",1,"Fifa, Madden, Nhl, 2k baksketball, too many others to list"
853,2,1,1,1,1,Yes,25,"Team Fortress 2, Legend of Zelda: Majora's Mask, Garry's Mod, Super Smash Bros. 3DS, Machinarium.",2,
902,2,0,1,1,1,Yes,0,"Temple run, Wii sports, Fruit Nina, Doodle Jump",2,
908,2,0,1,1,0,No,0,Frogger / Sphinx / Car Racing / ATV / Indiana Jones,1,Sphinx / Frogger / Indiana Jones
910,1,1,1,1,1,Yes,24,"League of Legends, Rocket League, Rainbow Six Siege, The Division, Pokemon Go.",1,"Rocket League, League of Legends, Super Smash Bros. Melee"
913,2,1,1,1,1,Yes,70,Destiny / Call of Duty Black Ops 3 / Rainbow SIx Siege / Titanfall / Battlefield 4,1,Destiny / Call of Duty Black Ops 2
929,2,0,1,1,1,No,NA,I don't remember,2,
949,1,0,1,0,1,No,0,"Madden NFL 2013, NCAA football 2013, World At War, Madden NFL 2012, NCAA 2012",2,
953,2,0,1,0,1,No,0,n/a,2,
955,2,0,1,0,0,No,0,"super mario cart, wii play, call of duty, ddr, wii sports (these were all a very long time ago)",2,
975,2,0,1,0,1,No,0,"runescape , templerun, dinner dash ",2,
976,2,0,1,1,1,No,0,Mario ,2,
977,1,0,1,1,0,No,0,"Grand Theft Auto 5, Call of Duty Black ops 2, Madden 2015, Fifa 2015, grand theft auto 4",1,"SOCOM: US Navy Seals, Grant Theft auto(3, vice city, san andreas, 4, and 5) Various madden football games, Need for speed, Super Mario 64, NFL Blitz, WWF No mercy, Star Wars Battlefront. "
