FileName,CWrotations,CCWrotations,Thrusts,WorldWraps,FortressCollisions,fortressDestructions,shipDeaths,Total,Points,Velocity,Control,Speed,Bpnt,Bmis,WorldWrapper,delWorldWrapper,discrete_thrusts,discrete_CWrotations,discrete_CCWrotations,Constant_Accelerations,cumulativeDistanceX,varianceX
731/p731-key-8.gam,102,348,82,52,6,0,4,-3352,-1068,-1148,-1066,-70,0,0,19,3,9,13,32,0,217286.169338171,8958.24067647603
731/p731-key-9.gam,83,144,44,53,2,1,3,-3101,-1056,-1120,-1165,240,0,0,23,4,8,14,22,0,64250.6850307426,3567.15154588951
739/p739-joy-1.gam,739,602,732,45,8,0,5,-3129,-1536,-658,-815,-120,0,0,2,0,75,66,63,0,370894.001690375,13256.9605585393
739/p739-joy-10.gam,442,202,266,9,0,1,3,737,-438,490,445,240,1,0,0,0,51,70,29,0,471340.778742256,14487.6397010756
739/p739-joy-2.gam,827,549,715,43,4,0,7,-2929,-1674,-378,-757,-120,0,0,2,0,76,65,57,0,438316.470126755,18064.2767002714
739/p739-joy-3.gam,496,422,459,26,3,0,6,-1455,-1446,-14,-65,70,1,0,1,0,64,61,48,0,354384.180511031,11490.720985918
739/p739-joy-4.gam,521,755,355,34,4,0,6,-2720,-1866,-196,-458,-200,1,0,3,1,45,62,56,0,337116.3815471,14292.9728856249
739/p739-joy-5.gam,571,331,416,33,4,0,7,-2233,-1736,-112,-395,10,1,0,1,0,66,67,34,0,368177.439844247,12761.2546868024
739/p739-joy-6.gam,432,401,365,25,4,0,5,-1223,-1246,-238,-99,360,0,0,3,1,55,55,53,0,433396.352348237,14801.2373960867
739/p739-joy-7.gam,355,590,365,28,4,0,7,-2514,-2170,-154,-180,-10,0,0,1,0,55,51,62,0,384584.589856133,12666.5026859344
739/p739-joy-8.gam,363,190,174,15,2,0,6,-547,-1586,672,277,90,1,0,0,0,37,48,26,0,325498.709088062,11833.3690645558
739/p739-joy-9.gam,494,205,357,13,3,0,9,-1552,-2266,392,422,-100,1,0,1,0,57,63,35,0,387682.686709268,11995.5473979555
739/p739-key-1.gam,426,230,315,19,6,0,6,-1457,-1786,266,73,-10,1,0,0,0,84,77,39,0,356755.740101851,12841.2056109198
739/p739-key-10.gam,340,85,225,3,2,2,5,489,-1246,854,701,180,0,0,0,0,57,60,19,0,349966.265508468,11899.8773920431
739/p739-key-2.gam,456,266,344,12,4,0,8,-1776,-2296,252,408,-140,0,0,0,0,86,72,46,0,468573.969310938,12985.11243237
739/p739-key-3.gam,441,147,237,9,1,0,5,526,-904,672,568,190,4,0,0,0,61,77,35,0,445814.310309085,12081.7142585793
739/p739-key-4.gam,451,167,242,13,2,0,5,-337,-1268,490,411,30,2,0,0,0,55,79,30,0,406599.494552059,11643.6748668889
739/p739-key-5.gam,331,228,244,6,3,0,6,139,-1214,728,575,50,3,0,0,0,65,57,45,0,423294.326757059,13821.9081564537
739/p739-key-6.gam,342,145,189,4,2,0,7,190,-1478,882,766,20,1,0,0,0,53,68,23,0,454640.198908096,9844.29766826917
739/p739-key-7.gam,326,226,204,13,0,0,3,-481,-1048,308,229,30,2,0,2,1,56,59,35,0,465186.651663004,16091.0271117316
739/p739-key-8.gam,350,240,255,8,3,1,6,375,-1096,686,545,240,2,0,0,0,63,54,42,0,414834.009756324,11463.8975736494
739/p739-key-9.gam,320,214,218,3,3,0,7,72,-1636,896,792,20,3,0,0,0,54,50,37,0,373801.119079318,9495.22150127941
753/p753-joy-1.gam,1243,947,580,48,7,0,10,-4233,-2600,-462,-871,-300,0,0,2,2,47,61,54,0,337093.619873458,13440.2568976021
753/p753-joy-10.gam,283,573,524,55,7,0,7,-3384,-1350,-672,-1172,-190,4,0,2,1,35,33,29,2,407074.934661976,15364.4213840889
753/p753-joy-2.gam,1045,1197,804,59,2,0,7,-4183,-1746,-868,-1339,-230,1,0,1,1,41,45,38,4,325036.751930365,16093.0640245843
753/p753-joy-3.gam,670,1289,438,60,3,0,7,-3909,-1550,-742,-1327,-290,2,0,1,1,34,57,58,1,336615.557151704,13719.1526564098
753/p753-joy-4.gam,234,309,325,41,3,0,15,-4786,-3800,-280,-486,-220,0,0,0,0,50,46,39,1,324113.611992731,12957.9386709118
753/p753-joy-5.gam,511,501,2061,68,6,0,6,-3964,-1300,-784,-1670,-210,2,0,0,0,46,21,29,2,372703.278775087,15059.2768811237
753/p753-joy-6.gam,787,736,1125,61,11,0,5,-3816,-1300,-798,-1438,-280,1,0,0,0,60,56,47,4,460286.070663788,16854.5059856089
753/p753-joy-7.gam,605,597,452,53,7,0,6,-3108,-1576,-266,-1126,-140,1,0,4,2,20,44,33,0,276679.818630714,12170.1036731629
753/p753-joy-8.gam,726,492,317,55,6,0,8,-3475,-1440,-644,-1151,-240,5,0,2,1,22,56,45,1,407436.370450005,18100.8135728526
753/p753-joy-9.gam,413,611,1382,67,4,0,3,-3315,-400,-966,-1649,-300,5,0,0,0,32,25,34,4,367454.758352063,16278.3864752825
